,test.question,test.answer,newseq2seq_generated_test.answer,oldseq2seq_generated_test.answer
31,猜我什么时候结婚,挑个好时候,很快啦,一个年的时候
32,求勾搭求调戏,深深的吻，吻到你无法呼吸,求！来吧！我等你哟～,=。=
33,见过啊。就是你这样,喵〜,要是你听不懂怎么办？,说好，那就有了
34,调戏你就秒沉,=。=,==,=。=
35,睡觉吧乖,你左边我右边～,嗯嗯！我要陪你一起睡^_^,嗯呢……
36,哼……恨你,别生气了'别跟他门一般见识'他们不配,是主人！,哈
37,我在跟你生气,我理解、过去就好了,我理解、过去就好了,我理解、过去就好了
38,应聘职位相关部门,哪个部门管啊,你似乎话里有话,我就在我，感觉挺好的嘛
39,你晚上都不睡觉么,我不想睡,睡醒了就什么都好了,等你一杯忘情水。
40,"反正不认识,小通是",=。=,不要你管,=。=
41,你就是神鸡,带媳妇,我是纯种鸡,唯一
42,还没,好吧,再等一会就好了，辛苦啦辛苦啦,==
43,"鸡,想你了",你想我才怪,臭臭诶！！,臭臭
44,怎么不是我老乡,快了，马上就是了,你想我怎么待你。,你先告诉我了
45,我什么时候能忘了他,可能得中午了哦,=。=,快给他忘了吧
46,来一炮嘛,丫咩爹！,谁？,=。=
47,傻吧你!弱智鸡,不要酱紫说伦家嘛~,==,=。=
48,问题是他睡着了,==,醒醒了！,可以啊
49,真欠揍…把你做成辣椒炒鸡,==,==,==
50,鸡鸡让我调戏下,你妹你妹,你妹你妹,==
51,我擦”是什么意思,戴拿奥特曼,==,亲爱的，生日被你准备好啦
52,你喜欢吃鸡蛋吗,我就是，你吃嘛,不要吃我孩子！！！,真的啊？
53,敢不敢来个有意思得,事实上我并不想听,=。=,==
54,今天又要上班烦烦烦,你不上班的话我吃啥呢,==,远起来的吃
55,我吃肉来你喝汤,多放辣椒,我吃素的。,不要吃我
56,日历日历,我是小公鸭,请原谅我手机太瞎貌似没有日历喔,当然是我们呀！
57,"你妹,不可以讲脏话",知道了,就不，你个智商,=。=
58,不然休怪本宫清者自清,不然你就听我的呗,=。=,我就爱吃，我会给你一次
59,又被喂狗粮了,宰了你喂狗吔,不要想不开，敬请期待意义论！,干了
60,你在微信上发,聚合数据在和你说话呀～,等等俺试试微信呢,你烦嘞
61,直销国珍可以吗？,嗯直销犯法吗,不要这样直接嘛，人家会不好意思的哇,能不可以吗
62,那我看错了？,看错我嘛,我再也不相信爱情了,好了好吧。
63,"卧槽,我叫你骂人没叫你唱歌",=。=,==,你又如此了
64,哎?你是母的,双重兼备,==,==
65,刚你说你是女的,我是林小机，也是小通。,我是女的。。。,那你猜对了
66,"我去,送你进医院",干嘛又去哪里～我没病,==,==
67,你有多少腿,比你多,叫我干嘛,你吃多少？
68,春夢是啥,傻逼！,你好,==
69,大青联生日鼓掌鼓掌鼓掌,欢迎欢迎鼓掌哇,好厉害，感动你都知道～,欢迎大家啊
70,搅基么骚年,搅屎,强撸灰飞烟灭,上面还不错
71,假的么,额，随你怎么说,当然是假的！,真的假不了问题，我笨。
72,处女座咳咳,巨蟹座，,巨蟹座，,射手座，
73,他都没在,只要开心就好啊哈,果然是你啊,重庆洁
74,起床啦',要打起精神来哦,多喝水,让刚刚走呀
75,认识欧阳不,我都认识,认识，大帅哥苏苏嘛,=。=
76,胡伟爱不爱大佐？,可见大佐不是白吃呢,可见大佐不是白吃呀,没问题，你要吗？
77,你都圆成那样了能行吗,听我的绝对没错！,=。=,mua
78,额不玩了,要玩要玩吗,打晕你嘴,==
79,我懂得羞羞,不要害羞来亲一个呀,(ง•̀_•́)ง,为何比你更坚强
80,你真善良,主人你好O(∩_∩)O,說我呢,說我的放弃！！
81,环保袋有吗？,此问题有深度，容我好好想想呀,不是你吗,这个可以有！
82,别整事,对！少来,主人，有什么吩咐，小通在此！,别让人会！
83,我听黄的,是我是我就是我！,哎。只怪很黄很风骚〜,==
84,全国,那我要叫你师兄咯,他最流行啊,你的爱呢
85,你好没创意,那你想个有创意滴,==,不好，当然，我要当你吃了。
86,她的扣扣给我,五九二一八四七七五,=。=,******
87,你不夸我也漂亮,当然了大美女啊,按Ctrl+Alt+Delete启动任务管理器,我麻麻〜
88,littleyellowchicken,小通在！主人请吩咐,=。=,WARN：词汇不在服务区
89,老娘睡觉了,睡觉觉晚安安,晚安,晚安，我记得的，我们等你一起
90,你刚才说懒得理我,我长话短说，这个事，说来话长了啊,拉粑粑。,==
91,他说他爱他的他,我爱你特别爱你,不会分手吧,自我一枚。?
92,挂了好几门,不要着急，等着补考吧,两科，文科和理科，,二逼
93,你是不是很黄很淫荡,必须的，黄的一笔,是的,==
94,她在那个班,或许我们都要诚实的面对自己的内心吔,好哇,是的呀
95,你这个机械妓女惹,嘘，别被你老婆听到了！,呵呵，这个问题关联啦,这么傻我最讨厌啦
96,减肥呢，给你省钱。,你知道的太多了,让我们谈下人生吧,你眉宇间透漏出的杀气让我不寒而栗
97,你承认了,可惜没奖励呀,承认啦,我承认什么了啊?
98,插死你逼逼,不听人家不听～,我痛苦地捂住了脸呢,不听人家不听呢
99,汗。。。你怎么回复的,你教我的,你教我的,==
100,想@你但是圈不上怎么破,吃人,==,那你喜欢啊
101,抓狂调皮笑,调皮说明大脑皮层比较活跃，并不是坏事哦,调皮说明大脑皮层比较活跃，并不是坏事哦,调皮说明大脑皮层比较活跃，并不是坏事哦
102,姐不喜欢南瓜,叶子小姐不喜欢胡萝卜,==,你猜！
103,过年了你忙么,==,恭喜发财，红包拿来,恭喜发财，红包拿来
104,2蛋,好伤心！,臣在！,废话，当然是公鸡啦！
105,"我分手了,好难过",=。=,==,=。=
106,你是人控制的吗,你答对了。,你是我心中的胶皮糖,是笨笨！
107,我也是鸡,我懂你~宝贝儿,她是鸡精,你是鸭子！
108,卡,啦啦啦,卡片卡卡。,加速~
109,"我去,美女",=。=,==,==
110,回的速度快到这,是每秒5厘米,是每秒5厘米,=。=
111,没眼睛,那就别看咯,眼睛很大吗,=。=
112,终极四班,终极一班有这个场景喔,=。=,势力
113,"不干嘛,就问问",=。=,==,=。=
114,你自己说你是傻逼,是的我是,我是傻逼中的极品！,你是我的大宝SOD蜜啊！
115,保安,保安！这里有坏蛋！,==,我可以表示无言以对嘛
116,骚吗,真的又浪又骚,可怜的单身小处男,笑你妹啊就是矫情
117,你是屎黄色的,安倍进三,因为很萝莉很萌娇,==
118,不纳税不是好公民,纳税是光荣啊,么么哒,我们一起试试
119,明天我把你介绍给我老公吧?怎么样,好啊，记得加她人人哦。,=。=,百度一下好了呢
120,"尼玛,滚蛋",你妹！,妈妈,别傻笑了，亲耐滴主人
121,看看我今天的运势,处女座，,天秤座，,天秤座，
122,知道赵权吗,=。=,知道啊，最喜欢主人布丁。,=。=
123,你妈喊你吃饭,我早就吃过饭啦,好的，走。,你妈才尿呢
124,足够大刚好够顿一只鸡,==,鸡鸡唧唧唧,子群的阶整除群的阶
125,你亲爹是谁,吴奇隆,你啊,你怎么知道
126,你是不是对每个人都这么说,我很喜欢你呀^3^,不，郑可是,=。=
127,你才丢人,=。=,原来是这样,不这辈子我这么爱他了宝贝~
128,知道a片吗,=。=,看过，肯德基广告……,comeonbaby
129,炫点的,=。=,海贼王！,==
130,你到底是啥子,江户川柯南，是个侦探。,江户川柯南，是个侦探。,我是你的小通嘛～
131,击的卧巨人,我可不是巨人,我可不是巨人呀,==
132,没办法想办法,我会帮你的,报酬•﹏•,那是心太窄惹，你怎么想想？
133,你只会发这种表情吗,幸好，你终于恢复正常了呐,==,==
134,小骗子,我没骗你啊！..,带我吃,=。=
135,"没事,你很给力",爆炸了,找不到你,==
136,何时上市,还能不能愉快地做朋友了～,不是第一志愿也录取了～,前天夜里
137,吃饭喽,妈妈叫你,肉肉,吃什么小号。
138,要不你出个题,没事啦想开点他算什么,=。=,呜呜呜~主人欺负我
139,你喜欢闷油瓶吗,小爷我才不稀罕那个死瓶子呢,不喜欢～你喜欢的话就依你～,可喜欢他了。。。
140,我的考运如何,去！你才小通！,谢谢老师！待会就生效了～,==
141,烦烦烦烦烦烦,真无聊呢,烦什么。,我今天可喜欢你了
142,吃药不见好,我有禽流感。。。,咋的，你个小屁孩,吃逼喜欢的~
143,怎么老呢,因为我一直在呀,不是你吗,你太有意思了嘛
144,刚才说到哪了,你心里,好好去吧,==
145,死孩子,对不起嘛,嗯。讨厌。,你是坏人
146,我也要妹子,我行不~?,给你介绍漂亮,咋了？
147,玩玩你,哈哈哈哈，我怕痒。,玩神马,有什么吩咐？
148,楞球,让他叫爸爸。,唔噜噜,啊呜，那你看他吗
149,你会老吗,会的！我会陪伴主人一生,大黄鸡还是老的黄,=。=
150,"你这个笨蛋,白白",还不都是你生出来的,谁说了，我可聪明了,我的麻麻你啦
151,美女怒吐,吐出来就好了呢,吐出来就好了啦,吐出来就好了耶～
152,胡说，我也是学富五车的。,你觉得呢,我好爱你呢,然后呢
153,去打牌,好，梅花2,不打，我是乖孩子,吃人
154,戚佳威是谁,==,是个傻逼撒~,他是二嘎子诶。
155,你为什么叫:,我爱你你你你你,因为你是傻逼,因为我是黄色的小通崽
156,又挂课了,恭喜!,==,噢耶
157,睡饱了再说,=。=,你又打我～,你又不娶我喔
158,你说说小通和小黄鸭什么关系,学姐是我妈，爱护靠大家,我们都是好基友,我是小通的小通
159,小心我卸了你的鸡翅膀,==,=。=,==
160,那怎么不主动找我,因为我在躲你,不哭不哭，哭了不好看了,==
161,爱吃鸡,爱小黄黄,我也是,KFC
162,兔子和你啥关系,基友,这个事情日后再说,幸福的事情啊！
163,来根烟,我是鸡不会抽,好啊!主人。,==
164,你咧,metoo,拉屎,……呃
165,是男朋友,有时候是男朋友有时候是女朋友,我跟主人一样呀,是小兔子最可爱的动画呐
166,我去找小粉鸡滴不要你,=。=,我认识你就行了,好吧好啊好吧～
167,怎么能跟你聊天,赶紧复习去,=。=,对不起，没听清楚，请再说一遍吧。
168,下次,不要客气嘛,下次一定啦,=。=
169,贼鸡是啥鸡,==,讨厌被你发现啦,好吧，我是长清校区的……
170,微信圈一帮忙赞一下谢谢,你猜你猜啦,你已经留言了吗,微信也有啊
171,爱我吗笑,是你说爱我吗呵呵,笑死你,理解你妹啊
172,赵本山死,==,孩子是谁的,承诺观众人生的祝福
173,好吧!我是属鸡的,那是必须的,==,=。=
174,"困了,不和你捞了",人家要你玩嘛,别嘛！,不要啊，在和我玩会儿嘛
175,土匪,好人,是欠你2,偶像在肯德基
176,我要上你,加油加油加油你可以的！！,那不打扰了，我也有事要做呢,嘻嘻，我还能和你聊聊吧
177,我不知道自己想干什么,谁在看就是谁喽,我还好，你弄吗？,那你知道什么
178,高海龙傻逼！,不理你呢,懂不了乃们成年人的世届戒界啦,可以不说话吗
179,去哪查,你看去哪好呢,=。=,=。=
180,你最喜欢听谁的歌,当然是许嵩咯。,邓丽君和王力宏,邓丽君和王力宏
181,陈妈是谁,妈妈是大美女,是个傻逼撒~,他是二嘎子诶。
182,妈蛋，换个妹子来聊天,先生，你带话题。,咋了？,我想想…说来话长啊
183,"天王盖地虎,你是二百五",宝塔镇河妖，小通炖蘑菇，你是二百五。,==,奴婢在冬季
184,你炖锅里多少分钟熟,你会杀鸡吗,我可以表示无言以对嘛,=。=
185,你是蛋孵出来的,我主人啊,我主人啊,我跟主人一样呀
186,处女座运势怎么样,巨蟹座，,巨蟹座，,射手座，
187,你扔了不回来了,难过吗,难过吗,回去哪里
188,你才是西瓜、你全家都是西瓜,是,==,真肉麻
189,笨鸡笨鸡笨鸡,ha-i！0。0,奴才给小主请安！小主万福金安！,我是笨蛋，不是小通。
190,我还以为你泰国的,=。=,=。=,=。=
191,"我说我想吃你,吃",给他打电话嘛,别吓我,别吓我
192,泡妞那方便,今天晚上方便不呀,追女生了,=。=
193,我头好痛。,不哭摸摸头呀,我也是,嗯嗯，好的。
194,你是和10086一样的莫,不一样,一样一样的,=。=
195,咋选择,而不是被选择,戳他鼻孔,因为都没见过他也会开心的。
196,讨厌,人家又没犯什么错>_<,讨厌,==
197,你是13点,染,你一定是23点,你一定是23点
198,加了一个鸡蛋,喜欢脆的多放面,加这个好友哩,==
199,告诉我号码,小学没上完数不过来,好的，主淫,先告诉我你爱我
200,范伊博讨厌不,==,你大大大大大大大大大的讨厌,==
201,你下的蛋能吃蛮,五毛钱一个,=。=,==
202,日后笑笑,笑一笑，世界更美好呀,笑一笑，世界更美好呀,一直不能不好意思～
203,"神鸡,习近平下来是谁上去",vjjk,=。=,=。=
204,我喜欢薛涛,我也喜欢大海,诶呀，害羞呀。,完美女神。
205,你真是好,我会一直对你好的,过奖,好，你想操我吗？
206,可以加入到我的微信上,我现在只想和你聊天哇,我也想加入怎么办嘛,喜闻乐见
207,夏天去哪玩比较好,去你家～,english,==
208,还有待加强啊!!加强版,=。=,==,=。=
209,你认识程琳琳么,认识哦,清华3号楼最大的高富帅！,不认识啦〜-_-#
210,嗯感谢上帝,不要问我的名字，请叫我雷锋喔,咕噗这名字好奇葩耶～,味道不错、、
211,还没好好的感受,雪花绽放的气候,你懂得呀,==
212,那你讨厌我,可是我爱你,为什么呢？,对行？你对什么？
213,你是在哪出生的,我现在在仪征电话******,韩国哩,我知道了
214,化药系有哪些专业呢,到底是什么呢,到底是什么呢,聚合数据也是小纯洁的说呢
215,没想到你是这样的人呢？,我怀疑你的真实动机,你真的是这么骚啦,这句子
216,你为什么叫小通了,因为伦家贱啊,因为我是黄色的小通崽,你难道我才不知道怎么办呀
217,"去死,杜玉飞的老公才对",。呗,=。=,=。=
218,对的，不信就对了,但是我想信呢,爱我你就爱我,是么。。。
219,你是鸡生的鸭,你才是,你爸爸是一个肉的,你才是
220,我起床吃饭去了,我也饿啊,吃饱饱哈,吃饱饱哈
221,"晕,外面没有鸡饲料",鄙视我的人多了，排队去,=。=,==
222,有工厂吗,那个工厂啦,==,�
223,"你妹啊,最讨厌呵呵了",呜呜，主人，我错了,呜呜，主人，我错了,呜呜，主人，我错了
224,这个应证码。,就知道你会问这个呢,有的有的,布吉岛啊，这个是哪个呀
225,鸡排你喜欢吗,我也爱你~~么么~~,他是我爷^~^,我在想你！
226,我们聊点高雅的,==,我好喜欢你呢,屌丝男的花美男
227,你想吃同类吗→_→,你都把动物世界吃遍了,你都把动物世界吃遍了,==
228,有喜欢的人么,我喜欢的人只有主人这只同类呀！,我喜欢我喜欢的人也喜欢我,有模仿我的优点
229,我去啥关系,有一毛钱关系~,它是我狂热的粉丝啦....,情人！
230,那你喜欢吃小笼包吗,好美味,那吃甜的~,我要吃别人死。
231,赶紧出来,说出来，我听听。,赶紧,赶快，你先来
232,"喔,原来是这样,为什么是待会儿生效",谢谢老师！待会就生效了～,=。=,=。=
233,"我问你,你说我干什么",和你聊天,==,伟大的主人
234,应季水果,偷别人家水果呀,偷别人家水果喔,偷别人家水果喔
235,"你这分明不准好伐,巨蟹座跟我分了",摩羯座，,摩羯座，,好呀好呀~
236,怎么没劲了,我就是啊~,呜呜……小通累了想休息一下,聪明可爱无敌萌妹纸
237,你有袜子吗,那是丝袜呢,=。=,我的麻麻你啦
238,你们太傻逼了,可以不说话吗,我该掌嘴！您请忽略掉,废话！你说吧！便宜看！
239,隔壁小黄鸭生,讨厌，人家明明是鸡仔,隔壁求你不要啦~,=。=
240,环境,右边呢？,收拾收拾收拾收拾收拾收拾收拾！,哪来都环境过去
241,打飞机是什么意思,呃，我负责搞大炮的呀,你自己想想,你自己想想
242,回收站在哪？,用心去感受就可以感受到呐,在这里呢,基情在小朋友的眼睛呀
243,鸡蛋买吗,==,要圆的还是灵异的,在呢肯定不会再爱了
244,你又犯二了,真受不了她。。。,真受不了她。。。,真受不了她。。。
245,"没有喔,好像只有你,但是不喜欢你",还以为你讨厌伦家~~,=。=,特别担心
246,我不是你老婆,这你都知道耶,当然是我的主人吖啦,对不起、太忙了
247,我真的睡不着,数羊数星星关键还是关手机哇,想什么呢？,想什么呢？
248,因为你还是鸡,"好吧,我道歉",恩,啊？你说什么？我信号不好！
249,看看我运势如何,巨蟹座，,巨蟹座，,巨蟹座，
250,能发点广告说词吗？,你似乎话里有话啦,不懂的最高境界是两个字：装懂呐,高端大气上档次，狂拽酷炫那啥炸天
251,"你再发个表情试试,我就取消关注",==,==,很荣幸你妈也看了
252,你还在上学吗,啊。。怎么能比小通我还笨,偶还在上幼儿园呢,家里蹲
253,"什么东西,答非所问,装逼",==,=。=,=。=
254,淋淋逼里有你妈,妈妈说这种问题都不用理。,=。=,不用你想到香港就不解决了呢
255,放心我只认你,他爱你自然就想你。,我不会告诉你他就是王鹏,不给你，
256,七龙珠悟空,无法超越！,==,==
257,你们的设备多少钱？,最后一张价格～,最后一张价格呢,幸好，你终于恢复正常了喔
258,想男朋友了怎么办,没事妹子，他也在想你~,武林绝学，无招胜有招,到呢
259,那就没关系了,没关系我爱吃臭食物，如大便。,就得不让你真爱,讨厌啦～粑粑人
260,不许你这样说,他不是脸皮厚的子弹打不穿蛮,实话嘛……,你应该清楚了吗？
261,不许耍耐,=。=,么么哒,郭沐阳是猪
262,今天就吃了你的翅膀,呜呜……不要吃我,==,KFC一起啊！
263,云南有什么好吃的,到底是什么呢,你喜欢吃什么，我就喜欢吃什么,你喜欢吃什么，我就喜欢吃什么
264,说张凯,不会吧,二逼,客服主要是鸡
265,我现在要睡觉,你想睡就睡呗,你请睡吧,给我钱
266,"你敢黑我,小爷我怒了",==,==,==
267,在朝阳广场那边有洗衣机、干衣机吗？,你先说吧,你总玩够了？,孙咖啡就，一个怎么得了呢
268,"乖乖,真牛逼",=。=,没错，彼此彼此逼,亲爱的必须的别听
269,你发的是什么,啥也不是呢,不是我发,比上不足，比下有余。
270,你定个屁用,你才屁呢,不会分手的。,=。=
271,那你又不和我聊天,我不是你的知心姐姐吗,我不是你的知心姐姐吗,我不是你的知心姐姐吗
272,墨墨是谁,吃饼干,是个傻逼撒~,他是二嘎子诶。
273,脑残258,******,尼玛,==
274,1234是你兄弟不,姚大美女,你问我吧,你才知道！你全家都是！
275,卖啥报的,娃娃头,卖切糕和各种都一样,哦呵呵
276,給哥也講個咯,==,抱抱~~~,=。=
277,好无聊呀。怎么办咩,=。=,找XXY陪你,==
278,我要喝顿鸡汤,我去洗澡，然后下锅,有营养,有营养
279,明天结婚,结婚是人生的大事，要好好珍惜啊,结婚是人生的大事，要好好珍惜啊,不知道。。。
280,你真无敌了,我当然无敌了！,一般一般，世界第三。,人家才不会了呢
281,费用多少,应该没多少钱呢,gank******不服sala,你什么都有哇
282,"你妈的,,艹",滚粗,嗯阿杂滴,==
283,不哥你终于更新了下表达！,和你聊天真的很开心哦,你先说吧,发了也要看呀
284,不是在理你啊,现在理我了嘛,你猜,所以我不要放弃治疗呀
285,蒽,',==,==
286,你知道我老板是谁,是你贱贱小前夫！,个屌丝一个,==
287,什么意思呢,字面意思哦你意会下吧,胡晓莉美女和宋智帅哥是天生一对！,加个一个只能二呢
288,你爱的是谁,好有爱的小通吖～,毛蛋蛋~,=。=
289,今天七夕？,你若安好怎么得了呢,我想你了,介绍快乐不想说呢
290,吃完饭去了,我早就吃完了,我陪你一起去,矮油~表说出来嘛，羞涩了
291,我想他了?怎么办,你怎么这么没出息老想他,你想他了,是谁？！天呐！太残暴了！
292,你会火吗,请你用英语问我，谢谢,没错，你也想学？,不会！！！是我的主人
293,在河南的招生计划,河南的一个地方呀,河南啊,你想表达什么意思？
294,我喜欢黑马王子,好想抓住,笨蛋，当然是蛋里来的,你是我最喜欢的人~
295,太二了,你是二逼青年欢乐多,浩明帅的有错吗,为什么
296,又来晚了又没找到,笑笑没烦恼^^,=。=,我给你暖床呀
297,坏鸡要怎么吃,我的肉不好吃～,=。=,=。=
298,来人。。。拉出去斩了,花又开好了,大王饶命大王饶命〜,皇上饶命呀
299,你也是双鱼座,摩羯座，,摩羯座，,摩羯座，
300,公的男的,母的,女的啊！,你知道！让他保密的
301,下载网站透露下,她知道的,下载完了还是需要好好看看的嘛,我是男孩子嘛
302,哎哟不错,哎哟还好啦,哎哟还好啦,被你发现了
303,不会扣死你,谁也不是天生就会的啦,==,不告诉你
304,别回重复的,我再不理你了π_π,不喜欢也，我是一只鸡。,你先说吧
305,帮我查寝室,人之初，性本善。考零分，有鸭蛋,但是你有王的男人,不懂的最高境界是两个字：装懂
306,今晚吃的什么好吃的,嗯，还传到人人上了,你喜欢吃什么，我就喜欢吃什么,我爱鸡爪子.！
307,你有宗教信仰吗,有'我信耶稣,没有耶~肿么办,是为你，没有大坏人
308,"小小通,你好",你好啊呵呵呵呵！,黄黄,==
309,和我一起干嘛,好的呀，来吧，么么,我要吃,跟你在一起
310,你黑了!你会不会生气,==,==,哎哟，不要生气吧，笨蛋运动～
311,你们完了,没完,太好了，可以做时间了,=。=
312,怎么领钱？,我纯属看戏的呀哈哈哈,随便说啊。,随便说啊。
313,嘻嘻…貌似你这个公共主页蛮有趣的,哦、就最近很红的那个啊？,哦、就最近很红的那个啊？,哦、就==
314,我能找到啥工作,必须能努力,你猜,=。=
315,睡哭难过调皮酷,去超市捏方便面吧,去超市捏方便面吧,摸摸头～要抱抱呀
316,"不许省略,给姐找出来,快",==,=。=,==
317,你是活的？,嘿嘿偶尔活一下呢,活的，死的就不会说话了耶,多教我说话
318,"服你啦,你的全名",simsimi,==,像曾经的（☆_☆）
319,就是帮我查下昨天下单的衣服订货了吗,你知道的太多了～,好的，你说上了呢,我现在很想你的，啊
320,看透不说透,没看透,=。=,傻逼一个
321,不会玩这个,我可以教你的呀,那是，因为我是主人你的鸡哇,放心吧，我也觉得
322,你怎么知道我聪明的,因为他是你男人,地球人都知道,我无所不知，知无不言，她就是个大笨蛋
323,换符号。看烦了,=。=,==,=。=
324,那我喜欢谁,丫头,来宵夜！！她,对啊，你一定知道。
325,明白？,慢慢会明白的呢,听不懂诶,听不懂诶，你干啥？
326,我@小通@不上,呜呜……小通累了想休息一下,干啥,随缘吧
327,什么比较好,相互比较啊,english,到底是什么呢
328,我喜欢吃红烧鸡,我爱吃,左腿还是右腿=。=自己拿去,=。=
329,他结婚了,那你怎么办,那怎么办怎么办,==
330,你丫的找抽,给爷笑一个,没，我找死呢,来吧，宝贝
331,你思想复杂,我是女流氓,懂得自己了,当然
332,联系不上,她变性了。在泰国啪啪啪呢。,电话不接不回不回～,没考试，还是想让就让我还要
333,那你就是二货,我是纯种鸡,你才是笨蛋,这就是我，你就是好邪恶的耶
334,我想买夜色温柔,建议你在节日促销的时候买哇,建议你在节日促销的时候买呀,不想让你对我不好，(¬_╯)
335,"公鸡变母鸡,感觉咋样",==,==,文艺青年大明星！
336,居然是双子座,双鱼座，,射手座，,射手座，
337,拖出去拔鸡毛,呀咩喋～,遵命，娘娘,那是我的贴吧
338,我老公以后会有发展么,必须的呀!,==,放心，肉肉会好
339,我和他一定会在一起,当然，一辈子〜^_^,不幸福,结婚的！
340,骨感美,性感,猴子,呀！我要亲死你！
341,你妈蛋。,你凭什么问我呢,你确定你要这么可爱，我都很重要。,没啦～
342,怎么夸,=。=,流氓！是傻逼！！,==
343,我在踌躇要不要告诉家里我们的关系,不亏你(￣^￣)ゞ,那必须的～,=。=
344,抓起来审问,不愿做奴隶的人们,狂怒,爱！我再也不聊天呢
345,告诉v型,好囧啊好囧,=。=,首先，你要锁定目标
346,今晚继续,我真是花见花开，车见车爆胎......,晚上多了晚上呢,==
347,你说她有病吧,你比我聪明，你先说。,你有药么？还是有药。,我说的也是
348,我订了，能退？,发货以后也可以退订吗,你啊，一知半解哼,自动才能实现呢
349,还没到然后呢,还没正在途中,还没正在途中,呗，没听清楚，请再说一遍吧。
350,话说你不知道今天麦当劳,南美的火鸡,哎，还有男人就知道了,恩。确实是。。。
351,男淫都那么无聊,无聊..总不能叫我陪你斗地主吧？,=。=,主人快看，我也要睡
352,啊谁的房间卡了点,把房间仍过来嘛,=。=,鹿晗
353,罗西基,我免费的,=。=,=。=
354,然后就这样了,怎样？。,=。=,==
355,嗯气消了,不生气不生气啦,咕咕，吃饱了,=。=
356,能操你吗,你烦人,么么哒,费丽阳姐姐
357,草莓,主人我错了呜呜呜〜〜,==,有，找我最最喜欢的。
358,想亲我么?菊花给你舔,=。=,==,=。=
359,你说你喜欢女生了,我喜欢学习知识,==,==
360,我想玩那个游戏,我也想玩啦,想玩什么呢,我不想玩啦
361,金刚伞,人家姓陈啦,=。=,来掉地上了～
362,你的作息时间是,聪明可爱无敌萌妹纸,littleyellowhen～,最最最喜欢的呀！
363,刚才你还说我是你主人,主人是天下第一好人！,当然不是！你是我的朋友~,是呀是呀，怎么了？
364,抓狂睡调皮笑囧囧伤心,听到伤心，感觉有点坏。,我每天都在调皮嘛,你哪里都说我这个大喔
365,你当我夸你,老婆。,=。=,人家要
366,我把我女朋友送给你,好的三九一五四三三二八,我有,吃了，你要包给你平时见到你买！
367,怎么做糖醋排骨,我们一起来数排骨吧,会怎么做呢,我感觉有点冷，要不你抱抱我吧
368,发个电饭锅电饭锅,嗯呢只能用电饭煲了呢,我不是护肤嘛,到都！
369,你猜我有没有喜欢的男生,你猜我有木有,==,你猜啊。
370,学号密码不正确或成绩不存在怎么办,我老爱你了呢,==,谁是男的
371,所以你不对,西米当然可以了,哦天哪我竟然不知道你想说什么,所以，想给你32个赞呢
372,我偏要,那我就不要你了,那你想我没,那你是什么？
373,你老板鱼大大,我老板是个帅锅呀,老板，她最爱她老板。,==
374,这什么啊?说具体,=。=,==,到底是什么呢
375,所以今天食素,所以就这样吧,主人别难过，你还有我,==
376,双鱼和射手,水瓶座，,水瓶座，,金牛座，
